,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
1021,www.cbsnews.com,http://www.cbsnews.com/news/constantine-stephanopoulos-former-greek-president-dies-at-90/,Reliable,7,2,0,0,30.5,7,0,6,1,0,0,0,0,0,5.083333333,6.238888889,6,0,0,0,1,1
1022,www.chron.com,http://www.chron.com/news/houston-texas/houston/article/Fort-Worth-woman-recovering-after-being-shot-in-10628561.php,Reliable,6,0,1,0,3,6,0,0,6,0,0,0,0,0,0.6,0.946666667,6,0,0,0,0,1.2
1023,indianexpress.com,http://indianexpress.com/article/trending/trending-globally/one-out-of-four-vacations-includes-a-trip-to-hospital-survey-4387556/,Reliable,1,0,0,0,-1,1,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,1
1024,abcnews.go.com,http://abcnews.go.com/Sports/wireStory/tainted-ramirez-rodriguez-hall-ballot-guerrero-43693458,Reliable,5,0,0,0,1.85,5,0,5,0,0,0,0,0,0,0.4625,0.475,5,0,0,0,0,1.25
1025,www.yahoo.com,https://www.yahoo.com/news/yorks-cuomo-unveils-rights-initiative-says-election-spawned-202528487.html,Reliable,1,0,0,0,-1,1,0,1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,1
1026,abcnews.go.com,http://abcnews.go.com/Sports/teammates-rally-joe-flacco-ray-lewis-comments/story?id=43694124,Reliable,5,0,0,0,1.216666667,5,0,5,0,0,0,0,0,0,0.304166667,0.304166667,5,0,0,0,0,1.25
1027,abcnews.go.com,http://abcnews.go.com/Sports/scorecard-fans-exciting-fight-andre-ward-win-sergey/story?id=43692757,Reliable,4,0,0,0,-1,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1.333333333
1028,www.latimes.com,http://www.latimes.com/business/la-fi-labor-force-men-20161121-story.html,Reliable,142,157,126,43,25384.65,136,6,74,45,10,5,2,3,3,180.0329787,7824.823759,1,0,1,0,140,1.118110236
1029,www.wsj.com,http://www.wsj.com/articles/francois-fillon-gets-edge-in-presidential-primary-with-conservative-platform-1479759131,Reliable,22,4,3,3,50.73333333,22,0,2,17,2,1,0,0,0,2.415873016,15.45873016,5,7,3,2,5,1.1
1030,www.nydailynews.com,http://www.nydailynews.com/news/national/protesters-17-people-hospitalized-pipeline-clash-article-1.2882390,Reliable,4,0,0,1,0.85,4,0,4,0,0,0,0,0,0,0.283333333,0.566666667,4,0,0,0,0,1.333333333
1031,www.cbsnews.com,http://www.cbsnews.com/news/this-morning-from-cbs-news-nov-21-2016/,Reliable,3,0,0,0,0.766666667,3,0,3,0,0,0,0,0,0,0.383333333,0.408333333,3,0,0,0,0,1
1032,www.wsj.com,http://www.wsj.com/articles/photos-of-the-day-nov-20-1479694850,Reliable,2,0,0,0,0.45,2,0,2,0,0,0,0,0,0,0.45,0.45,2,0,0,0,0,1
1033,www.cnbc.com,http://www.cnbc.com/2016/11/21/how-to-survive-in-times-of-market-volatility.html,Reliable,9,2,0,0,3204.1,9,0,5,4,0,0,0,0,0,400.5125,3186.745833,1,0,0,0,8,1.285714286
1034,abcnews.go.com,http://abcnews.go.com/GMA/video/donald-trump-hollywood-stars-square-off-online-43691925,Reliable,2,0,0,0,1533.416667,2,0,1,1,0,0,0,0,0,1533.416667,1533.416667,1,0,0,0,1,1
